0103,2024-05-09 13:16:35,NO DATA
0104,2024-05-09 13:16:39,41043028
0105,2024-05-09 13:16:42,41056B64
010B,2024-05-09 13:16:46,410B7271
010C,2024-05-09 13:16:49,410C1BA8C3
010D,2024-05-09 13:16:53,410D3D3E
010E,2024-05-09 13:16:56,410EFF01
010F,2024-05-09 13:17:00,410F4346
0110,2024-05-09 13:17:03,41100CB6C6
0111,2024-05-09 13:17:07,41111B20
0101,2024-05-09 13:17:10,410100000000F5
0103,2024-05-09 13:17:14,NO DATA
0104,2024-05-09 13:17:17,41043028
0105,2024-05-09 13:17:21,41056A63
010B,2024-05-09 13:17:24,410B6A69
010C,2024-05-09 13:17:28,410C0D6471
010D,2024-05-09 13:17:31,410D0001
010E,2024-05-09 13:17:35,410EFF01
010F,2024-05-09 13:17:38,410F4346
0110,2024-05-09 13:17:42,4110054A53
0111,2024-05-09 13:17:45,41110005
0101,2024-05-09 13:17:49,410100000000F5
0103,2024-05-09 13:17:52,NO DATA
0104,2024-05-09 13:17:56,41042E26
0105,2024-05-09 13:17:59,41056A63
010B,2024-05-09 13:18:03,410BB2B1
010C,2024-05-09 13:18:06,410C1DA0BD
010D,2024-05-09 13:18:10,410D2A2B
010E,2024-05-09 13:18:13,410EFF01
010F,2024-05-09 13:18:17,410F4649
0110,2024-05-09 13:18:20,411004E6EE
0111,2024-05-09 13:18:24,41110005
0101,2024-05-09 13:18:27,410100000000F5
0103,2024-05-09 13:18:31,NO DATA
0104,2024-05-09 13:18:34,4104736B
0105,2024-05-09 13:18:38,41056B64
010B,2024-05-09 13:18:41,410B6A69
010C,2024-05-09 13:18:45,410C0D707D
010D,2024-05-09 13:18:48,410D0001
010E,2024-05-09 13:18:52,410EFF01
010F,2024-05-09 13:18:55,410F474A
0110,2024-05-09 13:18:59,4110053C45
0111,2024-05-09 13:19:03,4111676C
0101,2024-05-09 13:19:06,410100000000F5
0103,2024-05-09 13:19:10,NO DATA
0104,2024-05-09 13:19:13,410402FA
0105,2024-05-09 13:19:17,41056B64
010B,2024-05-09 13:19:20,410B9796
010C,2024-05-09 13:19:24,410C17C0D7
010D,2024-05-09 13:19:27,410D2728
010E,2024-05-09 13:19:31,410EFF01
010F,2024-05-09 13:19:34,410F494C
0110,2024-05-09 13:19:38,41100D9AAB
0111,2024-05-09 13:19:41,41110005
0101,2024-05-09 13:19:45,410100000000F5
0103,2024-05-09 13:19:48,NO DATA
0104,2024-05-09 13:19:52,41045A52
0105,2024-05-09 13:19:55,41056D66
010B,2024-05-09 13:19:59,410B7372
010C,2024-05-09 13:20:02,410C1E3C5A
010D,2024-05-09 13:20:06,410D2F30
010E,2024-05-09 13:20:09,410EFF01
010F,2024-05-09 13:20:13,410F494C
0110,2024-05-09 13:20:16,4110051E27
0111,2024-05-09 13:20:20,41110005
0101,2024-05-09 13:20:23,410100000000F5
0103,2024-05-09 13:20:27,NO DATA
0104,2024-05-09 13:20:30,41044941
0105,2024-05-09 13:20:34,41056C65
010B,2024-05-09 13:20:37,410B7372
010C,2024-05-09 13:20:41,410C1DD8F5
010D,2024-05-09 13:20:44,410D1D1E
010E,2024-05-09 13:20:48,410EFF01
010F,2024-05-09 13:20:51,410F474A
0110,2024-05-09 13:20:55,41101A1432
0111,2024-05-09 13:20:58,41119BA0
0101,2024-05-09 13:21:02,410100000000F5
0103,2024-05-09 13:21:05,NO DATA
0104,2024-05-09 13:21:09,41042D25
0105,2024-05-09 13:21:12,41056C65
010B,2024-05-09 13:21:16,410B6A69
010C,2024-05-09 13:21:19,410C0D6875
010D,2024-05-09 13:21:23,410D1011
010E,2024-05-09 13:21:26,410EFF01
010F,2024-05-09 13:21:30,410F484B
0110,2024-05-09 13:21:33,4110052029
0111,2024-05-09 13:21:37,41110005
0101,2024-05-09 13:21:40,410100000000F5
0103,2024-05-09 13:21:44,NO DATA
0104,2024-05-09 13:21:47,41042D25
0105,2024-05-09 13:21:51,41056C65
010B,2024-05-09 13:21:54,410B6968
010C,2024-05-09 13:21:58,410C0D6C79
010D,2024-05-09 13:22:01,410D0506
010E,2024-05-09 13:22:05,410EFF01
010F,2024-05-09 13:22:08,410F484B
0110,2024-05-09 13:22:12,4110121026
0111,2024-05-09 13:22:15,41110005
0101,2024-05-09 13:22:19,410100000000F5
0103,2024-05-09 13:22:22,NO DATA
0104,2024-05-09 13:22:26,41042E26
0105,2024-05-09 13:22:29,41056D66
010B,2024-05-09 13:22:33,410B6968
010C,2024-05-09 13:22:36,410C0D7481
010D,2024-05-09 13:22:40,410D1213
010E,2024-05-09 13:22:43,410EFF01
010F,2024-05-09 13:22:47,410F494C
0110,2024-05-09 13:22:50,4110050811
0111,2024-05-09 13:22:54,41117479
0101,2024-05-09 13:22:57,410100000000F5
0103,2024-05-09 13:23:01,NO DATA
0104,2024-05-09 13:23:04,41042B23
0105,2024-05-09 13:23:08,41056D66
